"","county","fips","candidate","state","votes"
"1","Abbeville County",45001,"Donald Trump","SC",6763
"2","Abbeville County",45001,"Hillary Clinton","SC",3741
"3","Abbeville County",45001,"Gary Johnson","SC",129
"4","Abbeville County",45001,"Evan McMullin","SC",56
"5","Abbeville County",45001,"Darrell Castle","SC",38
"6","Abbeville County",45001,"Jill Stein","SC",36
"7","Abbeville County",45001,"Peter Skewes","SC",12
"8","Acadia Parish",22001,"Donald Trump","LA",21162
"9","Acadia Parish",22001,"Hillary Clinton","LA",5638
"10","Acadia Parish",22001,"Gary Johnson","LA",281
"11","Acadia Parish",22001,"Jill Stein","LA",106
"12","Acadia Parish",22001,"Evan McMullin","LA",74
"13","Acadia Parish",22001,"Darrell Castle","LA",50
"14","Acadia Parish",22001,"Chris Keniston","LA",28
"15","Acadia Parish",22001,"Laurence Kotlikoff","LA",13
"16","Acadia Parish",22001,"Tom Hoefling","LA",10
"17","Acadia Parish",22001,"Princess Jacob","LA",9
"18","Acadia Parish",22001,"Alyson Kennedy","LA",8
"19","Acadia Parish",22001,"Gloria La Riva","LA",5
"20","Acadia Parish",22001,"Jerry White","LA",5
"21","Accomack County",51001,"Donald Trump","VA",8583
"22","Accomack County",51001,"Hillary Clinton","VA",6740
"23","Accomack County",51001,"Gary Johnson","VA",264
"24","Accomack County",51001,"Evan McMullin","VA",112
"25","Accomack County",51001,"Jill Stein","VA",66
"26","Ada County",16001,"Donald Trump","ID",93752
"27","Ada County",16001,"Hillary Clinton","ID",75677
"28","Ada County",16001,"Evan McMullin","ID",11226
"29","Ada County",16001,"Gary Johnson","ID",9984
"30","Ada County",16001,"Jill Stein","ID",3138
"31","Ada County",16001,"Darrell Castle","ID",1019
"32","Ada County",16001,"Scott Copeland","ID",481
"33","Ada County",16001,"Rocky De La Fuente","ID",349
"34","Adair County",29001,"Donald Trump","MO",6030
"35","Adair County",29001,"Hillary Clinton","MO",3500
"36","Adair County",29001,"Gary Johnson","MO",426
"37","Adair County",29001,"Jill Stein","MO",147
"38","Adair County",29001,"Darrell Castle","MO",50
"39","Adair County",21001,"Donald Trump","KY",6637
"40","Adair County",21001,"Hillary Clinton","KY",1323
"41","Adair County",21001,"Gary Johnson","KY",141
"42","Adair County",21001,"Evan McMullin","KY",92
"43","Adair County",21001,"Jill Stein","KY",35
"44","Adair County",21001,"Rocky De La Fuente","KY",3
"45","Adair County",40001,"Donald Trump","OK",4787
"46","Adair County",40001,"Hillary Clinton","OK",1382
"47","Adair County",40001,"Gary Johnson","OK",344
"48","Adair County",19001,"Donald Trump","IA",2461
"49","Adair County",19001,"Hillary Clinton","IA",1133
"50","Adair County",19001,"Gary Johnson","IA",127
"51","Adair County",19001,"Jill Stein","IA",14
"52","Adair County",19001,"Darrell Castle","IA",10
"53","Adair County",19001,"Evan McMullin","IA",10
"54","Adair County",19001,"Dan Vacek","IA",10
"55","Adair County",19001,"Lynn Kahn","IA",5
"56","Adair County",19001,"Rocky De La Fuente","IA",3
"57","Adair County",19001,"Gloria La Riva","IA",0
"58","Adams County",8001,"Hillary Clinton","CO",96558
"59","Adams County",8001,"Donald Trump","CO",80082
"60","Adams County",8001,"Gary Johnson","CO",9893
"61","Adams County",8001,"Jill Stein","CO",2703
"62","Adams County",8001,"Evan McMullin","CO",1812
"63","Adams County",8001,"Darrell Castle","CO",993
"64","Adams County",8001,"Chris Keniston","CO",593
"65","Adams County",8001,"Mike Smith","CO",155
"66","Adams County",8001,"Kyle Kopitke","CO",145
"67","Adams County",8001,"Rocky De La Fuente","CO",139
"68","Adams County",8001,"Joseph Maldonado","CO",121
"69","Adams County",8001,"Ryan Scott","CO",73
"70","Adams County",8001,"Rod Silva","CO",71
"71","Adams County",8001,"Tom Hoefling","CO",69
"72","Adams County",8001,"Gloria La Riva","CO",64
"73","Adams County",8001,"Michael Maturen","CO",51
"74","Adams County",8001,"Alyson Kennedy","CO",42
"75","Adams County",8001,"Bradford Lyttle","CO",31
"76","Adams County",8001,"Frank Atwood","CO",23
"77","Adams County",8001,"Jim Hedges","CO",19
"78","Adams County",8001,"Laurence Kotlikoff","CO",17
"79","Adams County",8001,"Emidio Soltysik","CO",11
"80","Adams County",42001,"Donald Trump","PA",31423
"81","Adams County",42001,"Hillary Clinton","PA",14219
"82","Adams County",42001,"Gary Johnson","PA",1251
"83","Adams County",42001,"Jill Stein","PA",405
"84","Adams County",42001,"Darrell Castle","PA",191
"85","Adams County",17001,"Donald Trump","IL",22790
"86","Adams County",17001,"Hillary Clinton","IL",7676
"87","Adams County",17001,"Gary Johnson","IL",1168
"88","Adams County",17001,"Jill Stein","IL",249
"89","Adams County",28001,"Hillary Clinton","MS",7757
"90","Adams County",28001,"Donald Trump","MS",5874
"91","Adams County",28001,"Gary Johnson","MS",125
"92","Adams County",28001,"Jill Stein","MS",32
"93","Adams County",28001,"Darrell Castle","MS",27
"94","Adams County",28001,"Rocky De La Fuente","MS",12
"95","Adams County",28001,"Jim Hedges","MS",9
"96","Adams County",31001,"Donald Trump","NE",9287
"97","Adams County",31001,"Hillary Clinton","NE",3302
"98","Adams County",31001,"Gary Johnson","NE",594
"99","Adams County",31001,"Jill Stein","NE",111
"100","Adams County",18001,"Donald Trump","IN",9648
"101","Adams County",18001,"Hillary Clinton","IN",2805
"102","Adams County",18001,"Gary Johnson","IN",595
"103","Adams County",39001,"Donald Trump","OH",8659
"104","Adams County",39001,"Hillary Clinton","OH",2326
"105","Adams County",39001,"Gary Johnson","OH",226
"106","Adams County",39001,"Richard Duncan","OH",62
"107","Adams County",39001,"Jill Stein","OH",47
"108","Adams County",55001,"Donald Trump","WI",5966
"109","Adams County",55001,"Hillary Clinton","WI",3745
"110","Adams County",55001,"Gary Johnson","WI",216
"111","Adams County",55001,"Jill Stein","WI",79
"112","Adams County",55001,"Darrell Castle","WI",45
"113","Adams County",55001,"Monica Moorehead","WI",8
"114","Adams County",55001,"Rocky De La Fuente","WI",4
"115","Adams County",53001,"Donald Trump","WA",3083
"116","Adams County",53001,"Hillary Clinton","WA",1299
"117","Adams County",53001,"Gary Johnson","WA",183
"118","Adams County",53001,"Darrell Castle","WA",38
"119","Adams County",53001,"Jill Stein","WA",22
"120","Adams County",53001,"Gloria La Riva","WA",10
"121","Adams County",53001,"Alyson Kennedy","WA",9
"122","Adams County",16003,"Donald Trump","ID",1556
"123","Adams County",16003,"Hillary Clinton","ID",415
"124","Adams County",16003,"Gary Johnson","ID",83
"125","Adams County",16003,"Evan McMullin","ID",80
"126","Adams County",16003,"Jill Stein","ID",19
"127","Adams County",16003,"Darrell Castle","ID",12
"128","Adams County",16003,"Scott Copeland","ID",11
"129","Adams County",16003,"Rocky De La Fuente","ID",7
"130","Adams County",19003,"Donald Trump","IA",1395
"131","Adams County",19003,"Hillary Clinton","IA",565
"132","Adams County",19003,"Gary Johnson","IA",93
"133","Adams County",19003,"Darrell Castle","IA",13
"134","Adams County",19003,"Jill Stein","IA",9
"135","Adams County",19003,"Evan McMullin","IA",6
"136","Adams County",19003,"Rocky De La Fuente","IA",1
"137","Adams County",19003,"Lynn Kahn","IA",1
"138","Adams County",19003,"Dan Vacek","IA",1
"139","Adams County",19003,"Gloria La Riva","IA",0
"140","Adams County",38001,"Donald Trump","ND",909
"141","Adams County",38001,"Hillary Clinton","ND",216
"142","Adams County",38001,"Gary Johnson","ND",65
"143","Adams County",38001,"Darrell Castle","ND",13
"144","Adams County",38001,"Jill Stein","ND",8
"145","Adams County",38001,"Rocky De La Fuente","ND",0
"146","Addison County",50001,"Hillary Clinton","VT",11219
"147","Addison County",50001,"Donald Trump","VT",5297
"148","Addison County",50001,"Gary Johnson","VT",639
"149","Addison County",50001,"Jill Stein","VT",361
"150","Addison County",50001,"Rocky De La Fuente","VT",66
"151","Addison County",50001,"Gloria La Riva","VT",13
"152","Aiken County",45003,"Donald Trump","SC",46025
"153","Aiken County",45003,"Hillary Clinton","SC",25455
"154","Aiken County",45003,"Gary Johnson","SC",1798
"155","Aiken County",45003,"Evan McMullin","SC",791
"156","Aiken County",45003,"Jill Stein","SC",460
"157","Aiken County",45003,"Darrell Castle","SC",213
"158","Aiken County",45003,"Peter Skewes","SC",109
"159","Aitkin County",27001,"Donald Trump","MN",5516
"160","Aitkin County",27001,"Hillary Clinton","MN",3134
"161","Aitkin County",27001,"Gary Johnson","MN",263
"162","Aitkin County",27001,"Evan McMullin","MN",124
"163","Aitkin County",27001,"Jill Stein","MN",67
"164","Aitkin County",27001,"Dan Vacek","MN",50
"165","Aitkin County",27001,"Darrell Castle","MN",22
"166","Aitkin County",27001,"Alyson Kennedy","MN",6
"167","Aitkin County",27001,"Rocky De La Fuente","MN",3
"168","Alachua County",12001,"Hillary Clinton","FL",75820
"169","Alachua County",12001,"Donald Trump","FL",46834
"170","Alachua County",12001,"Gary Johnson","FL",4059
"171","Alachua County",12001,"Jill Stein","FL",1507
"172","Alachua County",12001,"Darrell Castle","FL",262
"173","Alachua County",12001,"Rocky De La Fuente","FL",87
"174","Alamance County",37001,"Donald Trump","NC",38815
"175","Alamance County",37001,"Hillary Clinton","NC",29833
"176","Alamance County",37001,"Gary Johnson","NC",1795
"177","Alameda County",6001,"Hillary Clinton","CA",514842
"178","Alameda County",6001,"Donald Trump","CA",95922
"179","Alameda County",6001,"Jill Stein","CA",17830
"180","Alameda County",6001,"Gary Johnson","CA",16906
"181","Alameda County",6001,"Gloria La Riva","CA",3162
"182","Alamosa County",8003,"Hillary Clinton","CO",3189
"183","Alamosa County",8003,"Donald Trump","CO",3046
"184","Alamosa County",8003,"Gary Johnson","CO",405
"185","Alamosa County",8003,"Jill Stein","CO",117
"186","Alamosa County",8003,"Evan McMullin","CO",72
"187","Alamosa County",8003,"Darrell Castle","CO",35
"188","Alamosa County",8003,"Chris Keniston","CO",23
"189","Alamosa County",8003,"Rocky De La Fuente","CO",13
"190","Alamosa County",8003,"Ryan Scott","CO",6
"191","Alamosa County",8003,"Mike Smith","CO",6
"192","Alamosa County",8003,"Tom Hoefling","CO",5
"193","Alamosa County",8003,"Alyson Kennedy","CO",5
"194","Alamosa County",8003,"Joseph Maldonado","CO",4
"195","Alamosa County",8003,"Michael Maturen","CO",3
"196","Alamosa County",8003,"Kyle Kopitke","CO",2
"197","Alamosa County",8003,"Rod Silva","CO",2
"198","Alamosa County",8003,"Frank Atwood","CO",1
"199","Alamosa County",8003,"Jim Hedges","CO",1
"200","Alamosa County",8003,"Laurence Kotlikoff","CO",1
"201","Alamosa County",8003,"Gloria La Riva","CO",1
"202","Alamosa County",8003,"Bradford Lyttle","CO",1
"203","Alamosa County",8003,"Emidio Soltysik","CO",1
"204","Albany County",36001,"Hillary Clinton","NY",83077
"205","Albany County",36001,"Donald Trump","NY",47810
"206","Albany County",36001,"Gary Johnson","NY",4792
"207","Albany County",36001,"Jill Stein","NY",2474
"208","Albany County",56001,"Donald Trump","WY",7602
"209","Albany County",56001,"Hillary Clinton","WY",6890
"210","Albany County",56001,"Gary Johnson","WY",1391
"211","Albany County",56001,"Jill Stein","WY",344
"212","Albany County",56001,"Darrell Castle","WY",133
"213","Albany County",56001,"Rocky De La Fuente","WY",63
"214","Albemarle County",51003,"Hillary Clinton","VA",33345
"215","Albemarle County",51003,"Donald Trump","VA",19259
"216","Albemarle County",51003,"Gary Johnson","VA",2105
"217","Albemarle County",51003,"Evan McMullin","VA",1059
"218","Albemarle County",51003,"Jill Stein","VA",450
"219","Alcona County",26001,"Donald Trump","MI",4201
"220","Alcona County",26001,"Hillary Clinton","MI",1732
"221","Alcona County",26001,"Gary Johnson","MI",164
"222","Alcona County",26001,"Jill Stein","MI",54
"223","Alcona County",26001,"Darrell Castle","MI",28
"224","Alcona County",26001,"Emidio Soltysik","MI",0
"225","Alcorn County",28003,"Donald Trump","MS",11819
"226","Alcorn County",28003,"Hillary Clinton","MS",2684
"227","Alcorn County",28003,"Gary Johnson","MS",167
"228","Alcorn County",28003,"Darrell Castle","MS",56
"229","Alcorn County",28003,"Jill Stein","MS",38
"230","Alcorn County",28003,"Jim Hedges","MS",12
"231","Alcorn County",28003,"Rocky De La Fuente","MS",7
"232","Alexander County",37003,"Donald Trump","NC",13893
"233","Alexander County",37003,"Hillary Clinton","NC",3767
"234","Alexander County",37003,"Gary Johnson","NC",437
"235","Alexander County",17003,"Donald Trump","IL",1496
"236","Alexander County",17003,"Hillary Clinton","IL",1262
"237","Alexander County",17003,"Gary Johnson","IL",48
"238","Alexander County",17003,"Jill Stein","IL",14
"239","Alexandria city",51510,"Hillary Clinton","VA",57242
"240","Alexandria city",51510,"Donald Trump","VA",13285
"241","Alexandria city",51510,"Gary Johnson","VA",2020
"242","Alexandria city",51510,"Evan McMullin","VA",1398
"243","Alexandria city",51510,"Jill Stein","VA",592
"244","Alfalfa County",40003,"Donald Trump","OK",1933
"245","Alfalfa County",40003,"Hillary Clinton","OK",216
"246","Alfalfa County",40003,"Gary Johnson","OK",109
"247","Alger County",26003,"Donald Trump","MI",2585
"248","Alger County",26003,"Hillary Clinton","MI",1663
"249","Alger County",26003,"Gary Johnson","MI",177
"250","Alger County",26003,"Jill Stein","MI",67
"251","Alger County",26003,"Darrell Castle","MI",19
"252","Alger County",26003,"Emidio Soltysik","MI",2
"253","Allamakee County",19005,"Donald Trump","IA",4093
"254","Allamakee County",19005,"Hillary Clinton","IA",2421
"255","Allamakee County",19005,"Gary Johnson","IA",227
"256","Allamakee County",19005,"Jill Stein","IA",46
"257","Allamakee County",19005,"Darrell Castle","IA",35
"258","Allamakee County",19005,"Evan McMullin","IA",34
"259","Allamakee County",19005,"Lynn Kahn","IA",10
"260","Allamakee County",19005,"Dan Vacek","IA",6
"261","Allamakee County",19005,"Rocky De La Fuente","IA",1
"262","Allamakee County",19005,"Gloria La Riva","IA",1
"263","Allegan County",26005,"Donald Trump","MI",34183
"264","Allegan County",26005,"Hillary Clinton","MI",18050
"265","Allegan County",26005,"Gary Johnson","MI",2513
"266","Allegan County",26005,"Jill Stein","MI",596
"267","Allegan County",26005,"Darrell Castle","MI",289
"268","Allegan County",26005,"Emidio Soltysik","MI",27
"269","Allegany County",24001,"Donald Trump","MD",21270
"270","Allegany County",24001,"Hillary Clinton","MD",7875
"271","Allegany County",24001,"Gary Johnson","MD",858
"272","Allegany County",24001,"Jill Stein","MD",365
"273","Allegany County",36003,"Donald Trump","NY",12525
"274","Allegany County",36003,"Hillary Clinton","NY",4882
"275","Allegany County",36003,"Gary Johnson","NY",735
"276","Allegany County",36003,"Jill Stein","NY",275
"277","Alleghany County",51005,"Donald Trump","VA",4874
"278","Alleghany County",51005,"Hillary Clinton","VA",2166
"279","Alleghany County",51005,"Gary Johnson","VA",164
"280","Alleghany County",51005,"Evan McMullin","VA",69
"281","Alleghany County",51005,"Jill Stein","VA",35
"282","Alleghany County",37005,"Donald Trump","NC",3814
"283","Alleghany County",37005,"Hillary Clinton","NC",1306
"284","Alleghany County",37005,"Gary Johnson","NC",129
"285","Allegheny County",42003,"Hillary Clinton","PA",367617
"286","Allegheny County",42003,"Donald Trump","PA",259480
"287","Allegheny County",42003,"Gary Johnson","PA",16102
"288","Allegheny County",42003,"Jill Stein","PA",5097
"289","Allegheny County",42003,"Darrell Castle","PA",1818
"290","Allen County",18003,"Donald Trump","IN",83930
"291","Allen County",18003,"Hillary Clinton","IN",55382
"292","Allen County",18003,"Gary Johnson","IN",6802
"293","Allen County",39003,"Donald Trump","OH",30487
"294","Allen County",39003,"Hillary Clinton","OH",13294
"295","Allen County",39003,"Gary Johnson","OH",1486
"296","Allen County",39003,"Jill Stein","OH",323
"297","Allen County",39003,"Richard Duncan","OH",225
"298","Allen County",21003,"Donald Trump","KY",6466
"299","Allen County",21003,"Hillary Clinton","KY",1349
"300","Allen County",21003,"Gary Johnson","KY",161
"301","Allen County",21003,"Evan McMullin","KY",63
"302","Allen County",21003,"Jill Stein","KY",46
"303","Allen County",21003,"Rocky De La Fuente","KY",6
"304","Allen County",20001,"Donald Trump","KS",3651
"305","Allen County",20001,"Hillary Clinton","KS",1433
"306","Allen County",20001,"Gary Johnson","KS",229
"307","Allen County",20001,"Jill Stein","KS",121
"308","Allen Parish",22003,"Donald Trump","LA",6867
"309","Allen Parish",22003,"Hillary Clinton","LA",2106
"310","Allen Parish",22003,"Gary Johnson","LA",102
"311","Allen Parish",22003,"Jill Stein","LA",50
"312","Allen Parish",22003,"Evan McMullin","LA",45
"313","Allen Parish",22003,"Darrell Castle","LA",26
"314","Allen Parish",22003,"Chris Keniston","LA",15
"315","Allen Parish",22003,"Laurence Kotlikoff","LA",12
"316","Allen Parish",22003,"Tom Hoefling","LA",8
"317","Allen Parish",22003,"Princess Jacob","LA",6
"318","Allen Parish",22003,"Alyson Kennedy","LA",4
"319","Allen Parish",22003,"Gloria La Riva","LA",3
"320","Allen Parish",22003,"Jerry White","LA",1
"321","Allendale County",45005,"Hillary Clinton","SC",2735
"322","Allendale County",45005,"Donald Trump","SC",789
"323","Allendale County",45005,"Gary Johnson","SC",22
"324","Allendale County",45005,"Evan McMullin","SC",12
"325","Allendale County",45005,"Peter Skewes","SC",12
"326","Allendale County",45005,"Darrell Castle","SC",11
"327","Allendale County",45005,"Jill Stein","SC",11
"328","Alpena County",26007,"Donald Trump","MI",9090
"329","Alpena County",26007,"Hillary Clinton","MI",4877
"330","Alpena County",26007,"Gary Johnson","MI",498
"331","Alpena County",26007,"Jill Stein","MI",160
"332","Alpena County",26007,"Darrell Castle","MI",53
"333","Alpena County",26007,"Emidio Soltysik","MI",10
"334","Alpine County",6003,"Hillary Clinton","CA",334
"335","Alpine County",6003,"Donald Trump","CA",217
"336","Alpine County",6003,"Gary Johnson","CA",25
"337","Alpine County",6003,"Jill Stein","CA",21
"338","Alpine County",6003,"Gloria La Riva","CA",3
"339","Amador County",6005,"Donald Trump","CA",10485
"340","Amador County",6005,"Hillary Clinton","CA",6004
"341","Amador County",6005,"Gary Johnson","CA",804
"342","Amador County",6005,"Jill Stein","CA",227
"343","Amador County",6005,"Gloria La Riva","CA",55
"344","Amelia County",51007,"Donald Trump","VA",4708
"345","Amelia County",51007,"Hillary Clinton","VA",2128
"346","Amelia County",51007,"Gary Johnson","VA",129
"347","Amelia County",51007,"Evan McMullin","VA",41
"348","Amelia County",51007,"Jill Stein","VA",11
"349","Amherst County",51009,"Donald Trump","VA",9719
"350","Amherst County",51009,"Hillary Clinton","VA",5057
"351","Amherst County",51009,"Gary Johnson","VA",317
"352","Amherst County",51009,"Evan McMullin","VA",159
"353","Amherst County",51009,"Jill Stein","VA",65
"354","Amite County",28005,"Donald Trump","MS",4289
"355","Amite County",28005,"Hillary Clinton","MS",2697
"356","Amite County",28005,"Gary Johnson","MS",38
"357","Amite County",28005,"Darrell Castle","MS",9
"358","Amite County",28005,"Jill Stein","MS",8
"359","Amite County",28005,"Jim Hedges","MS",5
"360","Amite County",28005,"Rocky De La Fuente","MS",4
"361","Anderson County",45007,"Donald Trump","SC",56232
"362","Anderson County",45007,"Hillary Clinton","SC",21097
"363","Anderson County",45007,"Gary Johnson","SC",1592
"364","Anderson County",45007,"Evan McMullin","SC",776
"365","Anderson County",45007,"Jill Stein","SC",438
"366","Anderson County",45007,"Darrell Castle","SC",236
"367","Anderson County",45007,"Peter Skewes","SC",112
"368","Anderson County",47001,"Donald Trump","TN",19212
"369","Anderson County",47001,"Hillary Clinton","TN",9013
"370","Anderson County",47001,"Gary Johnson","TN",1034
"371","Anderson County",47001,"Jill Stein","TN",189
"372","Anderson County",47001,"Mike Smith","TN",174
"373","Anderson County",47001,"Rocky De La Fuente","TN",74
"374","Anderson County",47001,"Alyson Kennedy","TN",42
"375","Anderson County",48001,"Donald Trump","TX",13201
"376","Anderson County",48001,"Hillary Clinton","TX",3369
