"","county","fips","candidate","votes","country"
"1",NA,"US","Donald Trump",62984825,"US"
"2",NA,"US","Hillary Clinton",65853516,"US"
"3",NA,"US","Gary Johnson",4489221,"US"
"4",NA,"US","Jill Stein",1429596,"US"
"5",NA,"US","Evan McMullin",510002,"US"
"6",NA,"US","Darrell Castle",186545,"US"
"7",NA,"US","Gloria La Riva",74117,"US"
"8",NA,"US","Rocky De La Fuente",33010,"US"
"9",NA,"US"," None of these candidates",28863,"US"
"10",NA,"US","Richard Duncan",24235,"US"
"11",NA,"US","Dan Vacek",13537,"US"
"12",NA,"US","Alyson Kennedy",12465,"US"
"13",NA,"US","Mike Smith",9095,"US"
"14",NA,"US","Chris Keniston",6909,"US"
"15",NA,"US","Lynn Kahn",5637,"US"
"16",NA,"US","Jim Hedges",5609,"US"
"17",NA,"US","Monica Moorehead",4063,"US"
"18",NA,"US","Peter Skewes",3246,"US"
"19",NA,"US","Rocky Giordani",2752,"US"
"20",NA,"US","Emidio Soltysik",2480,"US"
"21",NA,"US","Scott Copeland",2356,"US"
"22",NA,"US","Tom Hoefling",2291,"US"
"23",NA,"US","Laurence Kotlikoff",1440,"US"
"24",NA,"US","Kyle Kopitke",1096,"US"
"25",NA,"US","Joseph Maldonado",872,"US"
"26",NA,"US","Michael Maturen",862,"US"
"27",NA,"US","Rod Silva",751,"US"
"28",NA,"US","Princess Jacob",749,"US"
"29",NA,"US","Ryan Scott",749,"US"
"30",NA,"US","Bradford Lyttle",382,"US"
"31",NA,"US","Jerry White",370,"US"
"32",NA,"US","Frank Atwood",337,"US"
