"","county","fips","candidate","state","votes"
"1",NA,"AK","Donald Trump","AK",163387
"2",NA,"AK","Hillary Clinton","AK",116454
"3",NA,"AK","Gary Johnson","AK",18725
"4",NA,"AK","Jill Stein","AK",5735
"5",NA,"AK","Darrell Castle","AK",3866
"6",NA,"AK","Rocky De La Fuente","AK",1240
"7",NA,"AL","Donald Trump","AL",1318255
"8",NA,"AL","Hillary Clinton","AL",729547
"9",NA,"AL","Gary Johnson","AL",44467
"10",NA,"AL","Jill Stein","AL",9391
"11",NA,"AR","Donald Trump","AR",684872
"12",NA,"AR","Hillary Clinton","AR",380494
"13",NA,"AR","Gary Johnson","AR",29829
"14",NA,"AR","Evan McMullin","AR",13255
"15",NA,"AR","Jill Stein","AR",9473
"16",NA,"AR","Jim Hedges","AR",4709
"17",NA,"AR","Darrell Castle","AR",4613
"18",NA,"AR","Lynn Kahn","AR",3390
"19",NA,"AZ","Donald Trump","AZ",1252401
"20",NA,"AZ","Hillary Clinton","AZ",1161167
"21",NA,"AZ","Gary Johnson","AZ",106327
"22",NA,"AZ","Jill Stein","AZ",34345
"23",NA,"CA","Hillary Clinton","CA",8753788
"24",NA,"CA","Donald Trump","CA",4483810
"25",NA,"CA","Gary Johnson","CA",478500
"26",NA,"CA","Jill Stein","CA",278657
"27",NA,"CA","Gloria La Riva","CA",66101
"28",NA,"CO","Hillary Clinton","CO",1338870
"29",NA,"CO","Donald Trump","CO",1202484
"30",NA,"CO","Gary Johnson","CO",144121
"31",NA,"CO","Jill Stein","CO",38437
"32",NA,"CO","Evan McMullin","CO",28917
"33",NA,"CO","Darrell Castle","CO",11699
"34",NA,"CO","Chris Keniston","CO",5028
"35",NA,"CO","Mike Smith","CO",1819
"36",NA,"CO","Rocky De La Fuente","CO",1255
"37",NA,"CO","Kyle Kopitke","CO",1096
"38",NA,"CO","Joseph Maldonado","CO",872
"39",NA,"CO","Michael Maturen","CO",862
"40",NA,"CO","Rod Silva","CO",751
"41",NA,"CO","Ryan Scott","CO",749
"42",NA,"CO","Tom Hoefling","CO",710
"43",NA,"CO","Gloria La Riva","CO",531
"44",NA,"CO","Alyson Kennedy","CO",452
"45",NA,"CO","Laurence Kotlikoff","CO",392
"46",NA,"CO","Bradford Lyttle","CO",382
"47",NA,"CO","Frank Atwood","CO",337
"48",NA,"CO","Emidio Soltysik","CO",271
"49",NA,"CO","Jim Hedges","CO",185
"50",NA,"CT","Hillary Clinton","CT",897572
"51",NA,"CT","Donald Trump","CT",673215
"52",NA,"CT","Gary Johnson","CT",48676
"53",NA,"CT","Jill Stein","CT",22841
"54",NA,"DC","Hillary Clinton","DC",282830
"55",NA,"DC","Donald Trump","DC",12723
"56",NA,"DC","Gary Johnson","DC",4906
"57",NA,"DC","Jill Stein","DC",4258
"58",NA,"DE","Hillary Clinton","DE",235603
"59",NA,"DE","Donald Trump","DE",185127
"60",NA,"DE","Gary Johnson","DE",14757
"61",NA,"DE","Jill Stein","DE",6103
"62",NA,"FL","Donald Trump","FL",4617886
"63",NA,"FL","Hillary Clinton","FL",4504975
"64",NA,"FL","Gary Johnson","FL",207043
"65",NA,"FL","Jill Stein","FL",64399
"66",NA,"FL","Darrell Castle","FL",16475
"67",NA,"FL","Rocky De La Fuente","FL",9108
"68",NA,"GA","Donald Trump","GA",2089104
"69",NA,"GA","Hillary Clinton","GA",1877963
"70",NA,"GA","Gary Johnson","GA",125306
"71",NA,"HI","Hillary Clinton","HI",266891
"72",NA,"HI","Donald Trump","HI",128847
"73",NA,"HI","Gary Johnson","HI",15954
"74",NA,"HI","Jill Stein","HI",12737
"75",NA,"HI","Darrell Castle","HI",4508
"76",NA,"IA","Donald Trump","IA",800983
"77",NA,"IA","Hillary Clinton","IA",653669
"78",NA,"IA","Gary Johnson","IA",59186
"79",NA,"IA","Evan McMullin","IA",12366
"80",NA,"IA","Jill Stein","IA",11479
"81",NA,"IA","Darrell Castle","IA",5335
"82",NA,"IA","Lynn Kahn","IA",2247
"83",NA,"IA","Dan Vacek","IA",2246
"84",NA,"IA","Rocky De La Fuente","IA",451
"85",NA,"IA","Gloria La Riva","IA",323
"86",NA,"ID","Donald Trump","ID",409055
"87",NA,"ID","Hillary Clinton","ID",189765
"88",NA,"ID","Evan McMullin","ID",46476
"89",NA,"ID","Gary Johnson","ID",28331
"90",NA,"ID","Jill Stein","ID",8496
"91",NA,"ID","Darrell Castle","ID",4403
"92",NA,"ID","Scott Copeland","ID",2356
"93",NA,"ID","Rocky De La Fuente","ID",1373
"94",NA,"IL","Hillary Clinton","IL",3090729
"95",NA,"IL","Donald Trump","IL",2146015
"96",NA,"IL","Gary Johnson","IL",209596
"97",NA,"IL","Jill Stein","IL",76802
"98",NA,"IN","Donald Trump","IN",1557286
"99",NA,"IN","Hillary Clinton","IN",1033126
"100",NA,"IN","Gary Johnson","IN",133993
"101",NA,"KS","Donald Trump","KS",671018
"102",NA,"KS","Hillary Clinton","KS",427005
"103",NA,"KS","Gary Johnson","KS",55406
"104",NA,"KS","Jill Stein","KS",23506
"105",NA,"KY","Donald Trump","KY",1202971
"106",NA,"KY","Hillary Clinton","KY",628854
"107",NA,"KY","Gary Johnson","KY",53752
"108",NA,"KY","Evan McMullin","KY",22780
"109",NA,"KY","Jill Stein","KY",13913
"110",NA,"KY","Rocky De La Fuente","KY",1128
"111",NA,"LA","Donald Trump","LA",1178638
"112",NA,"LA","Hillary Clinton","LA",780154
"113",NA,"LA","Gary Johnson","LA",37978
"114",NA,"LA","Jill Stein","LA",14031
"115",NA,"LA","Evan McMullin","LA",8547
"116",NA,"LA","Darrell Castle","LA",3129
"117",NA,"LA","Chris Keniston","LA",1881
"118",NA,"LA","Tom Hoefling","LA",1581
"119",NA,"LA","Laurence Kotlikoff","LA",1048
"120",NA,"LA","Princess Jacob","LA",749
"121",NA,"LA","Alyson Kennedy","LA",480
"122",NA,"LA","Gloria La Riva","LA",446
"123",NA,"LA","Jerry White","LA",370
"124",NA,"MA","Hillary Clinton","MA",1995196
"125",NA,"MA","Donald Trump","MA",1090893
"126",NA,"MA","Gary Johnson","MA",138018
"127",NA,"MA","Jill Stein","MA",47661
"128",NA,"MD","Hillary Clinton","MD",1677928
"129",NA,"MD","Donald Trump","MD",943169
"130",NA,"MD","Gary Johnson","MD",79605
"131",NA,"MD","Jill Stein","MD",35945
"132",NA,"ME","Hillary Clinton","ME",357735
"133",NA,"ME","Donald Trump","ME",335593
"134",NA,"ME","Gary Johnson","ME",38105
"135",NA,"ME","Jill Stein","ME",14251
"136",NA,"MI","Donald Trump","MI",2279543
"137",NA,"MI","Hillary Clinton","MI",2268839
"138",NA,"MI","Gary Johnson","MI",172136
"139",NA,"MI","Jill Stein","MI",51463
"140",NA,"MI","Darrell Castle","MI",16139
