OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLKGRPCE20,GEOID20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,Pop20,HH20,MHI20,DAC20,Shape__Area,Shape__Length
1,06,053,001500,1,060530015001,Block Group 1,G5030,S,3348560,0,1660,726,104107,N,5213189.5392291,9856.08456978951
2,06,073,002712,2,060730027122,Block Group 2,G5030,S,337744,0,2060,540,119000,N,478610.82259102,3866.87476441462
3,06,073,018601,2,060730186012,Block Group 2,G5030,S,886725,0,1845,590,89286,N,1270705.85998409,5482.09443482328
4,06,073,018609,3,060730186093,Block Group 3,G5030,S,379311,0,3003,726,62000,Y,543812.248470705,3469.71374954392
5,06,073,019406,3,060730194063,Block Group 3,G5030,S,649440,0,1476,427,89402,N,930088.545843585,4442.14304519161
6,06,073,019503,2,060730195032,Block Group 2,G5030,S,744315,0,643,223,65972,N,1065883.96375179,4897.45310795051
7,06,037,104404,1,060371044041,Block Group 1,G5030,S,274050,0,1781,397,51094,Y,402239.31935417,2575.13889961701
8,06,037,104703,1,060371047031,Block Group 1,G5030,S,873636,0,1184,329,49063,Y,1281986.28748658,5592.62865991074
9,06,053,001700,1,060530017001,Block Group 1,G5030,S,396350,0,2195,619,75404,N,617383.149256365,4404.25739187908
10,06,053,014601,1,060530146011,Block Group 1,G5030,S,2831435,0,3369,702,78824,N,4432747.82270872,8692.06671593431
11,06,053,014302,1,060530143021,Block Group 1,G5030,S,1170877,0,2849,973,86984,N,1824251.57669658,8973.42433730738
12,06,053,014302,2,060530143022,Block Group 2,G5030,S,12811697,410482,1470,641,67716,N,20612205.5304821,22424.020206978
13,06,053,010400,1,060530104001,Block Group 1,G5030,S,660476,0,2171,468,85000,N,1031313.60252535,6530.51101573888
14,06,053,010505,1,060530105051,Block Group 1,G5030,S,437748,0,2580,592,81337,N,682772.7348354,3330.35615760831
15,06,053,010603,1,060530106031,Block Group 1,G5030,S,216470,0,1749,510,63254,N,337458.737880015,2381.91162932567
16,06,053,012700,2,060530127002,Block Group 2,G5030,S,952327,552291,601,413,42443,Y,2339135.40223905,7862.84594721159
17,06,037,104703,2,060371047032,Block Group 2,G5030,S,294603,0,1226,254,42300,Y,432292.342556815,3696.95753645316
18,06,037,104704,1,060371047041,Block Group 1,G5030,S,681800,0,1640,488,48158,Y,1000652.26862866,4377.02116011667
19,06,037,104821,2,060371048212,Block Group 2,G5030,S,177350,0,871,188,80476,N,260208.47420462,2042.36733795289
20,06,037,106407,1,060371064071,Block Group 1,G5030,S,88641,0,1734,548,30592,Y,130237.369204915,1555.35766267141
21,06,037,106408,1,060371064081,Block Group 1,G5030,S,176928,0,2957,784,51500,Y,259978.17667673,2041.6801476929
22,06,037,106642,1,060371066421,Block Group 1,G5030,S,687920,0,1047,411,127137,N,1010300.65562027,5201.35383684114
23,06,037,124903,2,060371249032,Block Group 2,G5030,S,136553,0,1166,557,78578,N,199958.30128779,1790.65697060388
24,06,037,127604,1,060371276041,Block Group 1,G5030,S,152263,0,1201,636,37171,Y,223141.044739665,2403.54094899857
