OBJECTID,STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GlobalID,OID,GEOID10_1,County,Pop16,HH16,MHI16,DAC16,Shape__Area,Shape__Length
1,06,059,00277294,06059,Orange,Orange County,06,H1,G4020,348,31100,42044,A,2047561084,407916814,+33.6756872,-117.7772068,{8B2B3057-1C2C-4F51-B0D2-DBDDBA720D24},0,06059,Orange County,3132211,1017012,78145,N,3554962333.4471,261437.515401649
2,06,103,01692767,06103,Tehama,Tehama County,06,H1,G4020, ,39780, ,A,7639709781,32276063,+40.1261561,-122.2322757,{30A77512-C8B7-4E73-A4BF-2C82E6B24B31},1,06103,Tehama County,63015,23573,40687,Y,13137377267.4789,624793.154435552
3,06,011,01675902,06011,Colusa,Colusa County,06,H1,G4020, , , ,A,2980379369,14581020,+39.1777385,-122.2375629,{86B76EE0-0828-4F3C-B76F-80F0B3E8C6B5},2,06011,Colusa County,21361,6962,54946,N,4990791655.31337,386021.297527503
4,06,083,00277306,06083,Santa Barbara,Santa Barbara County,06,H1,G4020, ,42060, ,A,7083838022,2729829365,+34.5373784,-120.0384850,{BC66687F-B360-4511-B3C1-6196224F6731},3,06083,Santa Barbara County,439395,143051,65161,N,14498303674.3529,891604.841391578
5,06,051,00277290,06051,Mono,Mono County,06,H1,G4020, , , ,A,7896827391,214695487,+37.9158363,-118.8751668,{F8342FA4-2526-41BF-B7EE-33B91DEDFF64},4,06051,Mono County,14051,4950,58937,N,13063314372.1417,694754.532888836
6,06,053,00277291,06053,Monterey,Monterey County,06,H1,G4020, ,41500, ,A,8496702738,1270714482,+36.2401070,-121.3155732,{380F5EB2-7913-4C97-B5B4-6C022542FDB8},5,06053,Monterey County,430201,125916,60889,N,15045870411.256,742256.842782404
7,06,061,00277295,06061,Placer,Placer County,06,H1,G4020,472,40900, ,A,3644136017,247205361,+39.0620324,-120.7227181,{B1E85A21-B227-4593-892E-F5A3674139A3},6,06061,Placer County,370571,136730,76926,N,6463725206.41151,534336.613234135
8,06,005,01675841,06005,Amador,Amador County,06,H1,G4020, , , ,A,1539962991,29456575,+38.4435501,-120.6538563,{9E4D63A8-7E93-4887-8113-BBB62E1FD6C9},7,06005,Amador County,36963,14248,57032,N,2562527528.08327,359583.223528748
9,06,009,01675885,06009,Calaveras,Calaveras County,06,H1,G4020, , , ,A,2641819725,43810420,+38.1878437,-120.5551154,{80BA0973-E491-4653-99E0-8C1DD45897C1},8,06009,Calaveras County,44787,17713,53502,N,4356217970.69022,367154.545970757
10,06,025,00277277,06025,Imperial,Imperial County,06,H1,G4020, ,20940, ,A,10817352524,790247942,+33.0408155,-115.3553946,{0C9780AC-1E9E-405F-A83F-F2503C73EF05},9,06025,Imperial County,178807,45800,42560,Y,16563153754.3487,593070.913497257
11,06,093,00277311,06093,Siskiyou,Siskiyou County,06,H1,G4020, , , ,A,16259652221,179889482,+41.5879861,-122.5332868,{730F9275-D2E0-4C13-B731-A9345AADCAB6},10,06093,Siskiyou County,43668,19045,38524,Y,29416372734.7509,895871.846629326
12,06,097,01657246,06097,Sonoma,Sonoma County,06,H1,G4020,488,42220, ,A,4081430136,497530353,+38.5325740,-122.9451943,{4AEC02B4-4712-46DA-A755-21A000F23A4E},11,06097,Sonoma County,497776,189043,66833,N,7492878295.69248,486543.951160669
13,06,085,00277307,06085,Santa Clara,Santa Clara County,06,H1,G4020,488,41940, ,A,3341343470,36174996,+37.2207774,-121.6906224,{F4A08E92-5B6E-44C3-A000-DFAC1BC32E50},12,06085,Santa Clara County,1885056,626579,101173,N,5337684831.11548,432196.550138558
14,06,029,02054176,06029,Kern,Kern County,06,H1,G4020, ,12540, ,A,21061565098,79577235,+35.3466288,-118.7295064,{9F0D374C-F6CB-4A7E-85E2-91330573A4A7},13,06029,Kern County,871337,262337,49788,Y,31845441384.9716,862167.142615399
15,06,113,00277321,06113,Yolo,Yolo County,06,H1,G4020,472,40900, ,A,2628032408,22969178,+38.6792682,-121.9031776,{8933D9F0-3262-4FA0-A2CF-F866791B410F},14,06113,Yolo County,209671,72544,57663,N,4357301208.41089,417481.577680773
16,06,045,00277287,06045,Mendocino,Mendocino County,06,H1,G4020, ,46380, ,A,9081386386,962952644,+39.4323876,-123.4428811,{B31A28BA-0462-49D8-AF9C-A75C29349660},15,06045,Mendocino County,87409,34594,43510,Y,16860771010.0312,698974.876365522
17,06,067,00277298,06067,Sacramento,Sacramento County,06,H1,G4020,472,40900, ,A,2498415670,76077248,+38.4500114,-121.3404409,{865FF07C-F07B-4372-B767-E6FB2F0C992A},16,06067,Sacramento County,1479300,527335,57509,N,4204025152.71935,406142.372765793
18,06,039,00277284,06039,Madera,Madera County,06,H1,G4020,260,31460, ,A,5534982985,41957504,+37.2100387,-119.7498519,{46F2DC20-15CB-4B10-8BB8-B5966CE2C22D},17,06039,Madera County,153366,43574,45742,Y,8810568337.94248,600744.875727119
19,06,115,00277322,06115,Yuba,Yuba County,06,H1,G4020,472,49700, ,A,1636454192,30998568,+39.2700256,-121.3442802,{2B0D65BF-BD55-4F4F-BFEF-DB018CE36872},18,06115,Yuba County,73897,25655,48739,Y,2785850228.32046,364068.68807281
20,06,107,00277318,06107,Tulare,Tulare County,06,H1,G4020, ,47300, ,A,12494658169,37391616,+36.2304529,-118.7805422,{7C8A787C-767E-4B9E-A5D8-E955B1BB40D5},19,06107,Tulare County,455769,134153,42789,Y,19294869317.9226,645934.06383197
