OBJECTID,STATEFP10,COUNTYFP10,COUNTYNS10,GEOID10,NAME10,NAMELSAD10,LSAD10,CLASSFP10,MTFCC10,CSAFP10,CBSAFP10,METDIVFP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,GlobalID,COUNTYFP10_1,GEOID10_1,NAMELSAD10_1,ALAND10_1,AWATER10_1,LandSqMile,PopDensity,Flag_MHI_P,UnemFlgEDD,Pop18,HH18,MHI18,Unempl_EDD,Shape__Area,Shape__Length,atlas_wmasSDEi16_Census_County_EconomicallyDistressedAreas_2018FID
1,06,055,00277292,06055,Napa,Napa County,06,H1,G4020,488,34900, ,A,1938247338,104169342,+38.5073511,-122.3259947,{4A575648-DF33-40C5-BCC3-FA35E6ACD4E0},055,06055,Napa County,1938247338,104169342,748.3616,188,N,N,140530,49032,84753,2.8,3340406938.42893,350324.779830919,32
2,06,005,01675841,06005,Amador,Amador County,06,H1,G4020, , , ,A,1539962991,29456575,+38.4435501,-120.6538563,{68E6EA7D-D73C-4FAC-9652-4EC64919A431},005,06005,Amador County,1539962991,29456575,594.5831,64,N,N,37829,14090,61198,3.8,2562527528.08327,359583.223528748,7
3,06,101,00277315,06101,Sutter,Sutter County,06,H1,G4020,472,49700, ,A,1560235601,15747004,+39.0352571,-121.7027576,{FFA29E17-D40F-494F-9BC8-9B225E37E7FC},101,06101,Sutter County,1560235601,15747004,602.4104,159,N,Y,95872,32360,56955,7.3,2615673510.57134,350619.718999861,38
4,06,081,00277305,06081,San Mateo,San Mateo County,06,H1,G4020,488,41860,41884,A,1161371825,757704380,+37.4146639,-122.3715417,{ED142551-35FC-419D-8010-77550E876924},081,06081,San Mateo County,1161371825,757704380,448.4082,1708,N,N,765935,261969,113776,2,3049229436.09264,279304.742743157,34
5,06,023,01681908,06023,Humboldt,Humboldt County,06,H1,G4020, ,21700, ,A,9241044673,1254256396,+40.7066731,-123.9258181,{4D5CF38E-D70A-478E-AFBA-A32650D6F1DD},023,06023,Humboldt County,9241044673,1254256396,3567.9877,38,N,N,135768,54267,45528,3.6,18282948889.804,681767.766515761,55
6,06,103,01692767,06103,Tehama,Tehama County,06,H1,G4020, ,39780, ,A,7639709781,32276063,+40.1261561,-122.2322757,{0EE4F1E9-8EDD-411D-BF3A-384DAC5CBD9C},103,06103,Tehama County,7639709781,32276063,2949.7088,21,N,N,63373,24025,42899,5.5,13137377267.4789,624793.154435552,1
7,06,099,00277314,06099,Stanislaus,Stanislaus County,06,H1,G4020, ,33700, ,A,3871582888,51437339,+37.5623842,-121.0026557,{6D4045F7-5B49-41AF-AED5-5182E498AC27},099,06099,Stanislaus County,3871582888,51437339,1494.8267,361,N,Y,539301,172682,57387,6,6253382171.04148,474119.757043706,24
8,06,065,00277297,06065,Riverside,Riverside County,06,H1,G4020,348,40140, ,A,18664696661,251073334,+33.7298275,-116.0022389,{BAD8FAAF-E95B-4833-832B-18AA9915F6ED},065,06065,Riverside County,18664696661,251073334,7206.4804,331,N,N,2383286,718349,63948,4.2,27426725928.5899,911122.472154595,39
9,06,071,00277300,06071,San Bernardino,San Bernardino County,06,H1,G4020,348,40140, ,A,51947229509,124028343,+34.8572198,-116.1811967,{7E087D13-2C0F-4879-9EA4-0F081162920C},071,06071,San Bernardino County,51947229509,124028343,20056.9396,106,N,N,2135413,630633,60164,3.8,77493407799.1765,1247103.51690931,37
10,06,085,00277307,06085,Santa Clara,Santa Clara County,06,H1,G4020,488,41940, ,A,3341343470,36174996,+37.2207774,-121.6906224,{606AF876-AEE0-4C62-A555-D6CBF8181A53},085,06085,Santa Clara County,3341343470,36174996,1290.1001,1490,N,N,1922200,635525,116178,2.5,5337684831.11548,432196.550138558,12
11,06,063,00277296,06063,Plumas,Plumas County,06,H1,G4020, , , ,A,6612350713,156395470,+39.9951699,-120.8295155,{280B78E9-4D71-479E-B884-DF680F86E84E},063,06063,Plumas County,6612350713,156395470,2553.0432,7,Y,Y,18699,8047,53270,7.7,11549995709.6828,657318.952323786,21
