cycle,state,stage,answer,candidate_name,candidate_party,pct
2020,Iowa,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,Iowa,general,Trump,Donald Trump,REP,48.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,48.4
2020,Pennsylvania,general,Trump,Donald Trump,REP,49.2
2020,Pennsylvania,general,Jorgensen,Jo Jorgensen,LIB,1.4
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Florida,general,Trump,Donald Trump,REP,48.2
2020,Florida,general,Jorgensen,Jo Jorgensen,LIB,1.6
2020,,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,,general,Trump,Donald Trump,REP,42.0
2020,,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,,general,Hawkins,Howie Hawkins,GRE,1.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,,general,Trump,Donald Trump,REP,40.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,,general,Trump,Donald Trump,REP,43.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,,general,Trump,Donald Trump,REP,46.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,,general,Trump,Donald Trump,REP,45.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,,general,Trump,Donald Trump,REP,45.0
2020,Nebraska CD-2,general,Biden,Joseph R. Biden Jr.,DEM,50.2
2020,Nebraska CD-2,general,Trump,Donald Trump,REP,44.3
2020,Nebraska CD-2,general,Jorgensen,Jo Jorgensen,LIB,5.4
2020,Nebraska CD-2,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Nebraska CD-2,general,Trump,Donald Trump,REP,47.0
2020,Nebraska CD-2,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Montana,general,Biden,Joseph R. Biden Jr.,DEM,45.0
2020,Montana,general,Trump,Donald Trump,REP,50.0
2020,Montana,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Maine,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,Maine,general,Trump,Donald Trump,REP,40.0
2020,Maine,general,Jorgensen,Jo Jorgensen,LIB,4.0
2020,Maine,general,Hawkins,Howie Hawkins,GRE,2.0
2020,Maine CD-2,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Maine CD-2,general,Trump,Donald Trump,REP,46.0
2020,Maine CD-2,general,Jorgensen,Jo Jorgensen,LIB,4.0
2020,Maine CD-2,general,Hawkins,Howie Hawkins,GRE,1.0
2020,Maine CD-2,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Maine CD-2,general,Trump,Donald Trump,REP,50.0
2020,Maine CD-1,general,Biden,Joseph R. Biden Jr.,DEM,56.0
2020,Maine CD-1,general,Trump,Donald Trump,REP,35.0
2020,Maine CD-1,general,Jorgensen,Jo Jorgensen,LIB,2.0
2020,Maine CD-1,general,Hawkins,Howie Hawkins,GRE,3.0
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Arizona,general,Trump,Donald Trump,REP,48.0
2020,Arizona,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Arizona,general,Trump,Donald Trump,REP,47.0
2020,Arizona,general,West,Kanye West,IND,1.0
2020,Arizona,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,Arizona,general,Hawkins,Howie Hawkins,GRE,0.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,Florida,general,Trump,Donald Trump,REP,45.5
2020,Florida,general,Jorgensen,Jo Jorgensen,LIB,0.8
2020,Florida,general,Hawkins,Howie Hawkins,GRE,0.8
2020,North Carolina,general,Biden,Joseph R. Biden Jr.,DEM,52.3
2020,North Carolina,general,Trump,Donald Trump,REP,46.4
2020,North Carolina,general,Jorgensen,Jo Jorgensen,LIB,1.0
2020,North Carolina,general,Hawkins,Howie Hawkins,GRE,0.3
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,49.9
2020,Pennsylvania,general,Trump,Donald Trump,REP,48.4
2020,Pennsylvania,general,Jorgensen,Jo Jorgensen,LIB,1.7
2020,Texas,general,Biden,Joseph R. Biden Jr.,DEM,47.2
2020,Texas,general,Trump,Donald Trump,REP,51.2
2020,Texas,general,Jorgensen,Jo Jorgensen,LIB,1.2
2020,Texas,general,Hawkins,Howie Hawkins,GRE,0.4
2020,Georgia,general,Biden,Joseph R. Biden Jr.,DEM,46.1
2020,Georgia,general,Trump,Donald Trump,REP,48.1
2020,Georgia,general,Jorgensen,Jo Jorgensen,LIB,3.9
2020,,general,Biden,Joseph R. Biden Jr.,DEM,47.8
2020,,general,Trump,Donald Trump,REP,42.4
2020,,general,Jorgensen,Jo Jorgensen,LIB,4.1
2020,,general,Hawkins,Howie Hawkins,GRE,2.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,51.5
2020,,general,Trump,Donald Trump,REP,45.1
2020,Georgia,general,Biden,Joseph R. Biden Jr.,DEM,46.0
2020,Georgia,general,Trump,Donald Trump,REP,50.1
2020,Georgia,general,Jorgensen,Jo Jorgensen,LIB,2.7
2020,,general,Biden,Joseph R. Biden Jr.,DEM,51.8
2020,,general,Trump,Donald Trump,REP,46.1
2020,,general,Jorgensen,Jo Jorgensen,LIB,1.7
2020,,general,Hawkins,Howie Hawkins,GRE,0.4
2020,Illinois,general,Biden,Joseph R. Biden Jr.,DEM,55.0
2020,Illinois,general,Trump,Donald Trump,REP,38.0
2020,Michigan,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Michigan,general,Trump,Donald Trump,REP,43.0
2020,Minnesota,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,Minnesota,general,Trump,Donald Trump,REP,43.0
2020,New Jersey,general,Biden,Joseph R. Biden Jr.,DEM,56.0
2020,New Jersey,general,Trump,Donald Trump,REP,38.0
2020,New York,general,Biden,Joseph R. Biden Jr.,DEM,61.0
2020,New York,general,Trump,Donald Trump,REP,33.0
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,47.0
2020,Ohio,general,Trump,Donald Trump,REP,47.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,44.0
2020,Wisconsin,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Wisconsin,general,Trump,Donald Trump,REP,42.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,50.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,47.0
2020,Ohio,general,Biden,Joseph R. Biden Jr.,DEM,45.0
2020,Ohio,general,Trump,Donald Trump,REP,49.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,,general,Trump,Donald Trump,REP,43.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,49.0
2020,,general,Trump,Donald Trump,REP,41.0
2020,Florida,general,Biden,Joseph R. Biden Jr.,DEM,45.0
2020,Florida,general,Trump,Donald Trump,REP,43.0
2020,Pennsylvania,general,Biden,Joseph R. Biden Jr.,DEM,51.0
2020,Pennsylvania,general,Trump,Donald Trump,REP,49.0
2020,Georgia,general,Biden,Joseph R. Biden Jr.,DEM,52.0
2020,Georgia,general,Trump,Donald Trump,REP,48.0
2020,,general,Biden,Joseph R. Biden Jr.,DEM,53.0
2020,,general,Trump,Donald Trump,REP,41.0
2020,,general,Jorgensen,Jo Jorgensen,LIB,1.0
