start_date,end_date,state,sample_size,population,Clinton,Trump
2015-11-07,2015-11-08,South Carolina,1290.0,v,40.63694,45.19826
2015-11-07,2015-11-08,South Carolina,1290.0,v,40.4882,45.19637
2015-11-07,2015-11-08,South Carolina,1290.0,v,40.69941,45.18212
2015-11-09,2015-11-13,Virginia,555.0,rv,49.81532,36.2105
2015-11-09,2015-11-13,Virginia,555.0,rv,49.00173,37.02524
2015-11-09,2015-11-13,Virginia,555.0,rv,49.3535,36.90794
2015-11-11,2015-11-15,Colorado,1262.0,rv,36.06331,45.78302
2015-11-11,2015-11-15,Colorado,1262.0,rv,35.86518,45.76778
2015-11-11,2015-11-15,Colorado,1262.0,rv,36.04188,45.63905
2015-11-12,2015-11-15,Wisconsin,803.0,rv,47.42836,37.97394
2015-11-12,2015-11-15,Wisconsin,803.0,rv,47.27073,38.05898
2015-11-12,2015-11-15,Wisconsin,803.0,rv,47.57453,37.87221
2015-11-06,2015-11-16,New Hampshire,530.0,rv,45.40125,38.46687
2015-11-06,2015-11-16,New Hampshire,530.0,rv,45.209790000000005,38.59373
2015-11-06,2015-11-16,New Hampshire,530.0,rv,45.39273,38.40193
2015-11-10,2015-11-16,Iowa,641.0,rv,41.85953,41.09665
2015-11-10,2015-11-16,South Carolina,627.0,rv,42.21781,45.55769
2015-11-10,2015-11-16,Nevada,628.0,rv,41.54632,44.81812
2015-11-10,2015-11-16,Iowa,641.0,rv,41.69384,41.21837
2015-11-10,2015-11-16,South Carolina,627.0,rv,42.05678,45.62137
2015-11-10,2015-11-16,Nevada,628.0,rv,41.3633,44.90135
2015-11-10,2015-11-16,Iowa,641.0,rv,41.85759,41.031220000000005
2015-11-10,2015-11-16,South Carolina,627.0,rv,42.24942,45.51283
2015-11-10,2015-11-16,Nevada,628.0,rv,41.54443,44.74835
2015-11-13,2015-11-16,U.S.,2001.0,rv,44.9939,44.36318
2015-11-13,2015-11-16,U.S.,2001.0,rv,44.85706,44.51641
2015-11-13,2015-11-16,U.S.,2001.0,rv,45.014140000000005,44.31849
2015-11-15,2015-11-16,Florida,829.0,rv,41.90924,48.72924
2015-11-15,2015-11-16,Florida,829.0,rv,42.062740000000005,48.79643
2015-11-15,2015-11-16,Florida,829.0,rv,41.86858,48.68129
2015-11-15,2015-11-17,New Hampshire,804.0,rv,46.98879,39.23964
2015-11-15,2015-11-17,New Hampshire,804.0,rv,46.81858,39.30677
2015-11-15,2015-11-17,New Hampshire,804.0,rv,47.02269,39.0808
2015-11-16,2015-11-17,U.S.,1360.0,v,43.36824,42.24252
2015-11-16,2015-11-17,U.S.,1360.0,v,43.23576,42.37711
2015-11-16,2015-11-17,U.S.,1360.0,v,43.41459,42.23025
2015-11-16,2015-11-19,U.S.,1016.0,rv,41.60438,46.0232
2015-11-16,2015-11-19,U.S.,1016.0,rv,41.49609,46.08751
2015-11-16,2015-11-19,U.S.,1016.0,rv,41.66925,45.8827
2015-11-16,2015-11-23,Montana,435.0,a,29.066090000000003,49.7611
2015-11-16,2015-11-23,Montana,435.0,a,28.76681,49.04129
2015-11-16,2015-11-23,Montana,435.0,a,28.95405,49.0112
2015-11-23,2015-11-30,U.S.,1473.0,rv,47.03617,40.30246
2015-11-23,2015-11-30,U.S.,1473.0,rv,46.87833,40.36045
2015-11-23,2015-11-30,U.S.,1473.0,rv,47.0407,40.19308
2015-11-27,2015-12-01,U.S.,930.0,rv,47.75193,43.95466
2015-11-27,2015-12-01,U.S.,930.0,rv,47.48304,44.08582
2015-11-27,2015-12-01,U.S.,930.0,rv,47.772290000000005,43.83161
2015-11-15,2015-12-02,U.S.,2360.0,rv,50.03764,41.48533
2015-11-15,2015-12-02,U.S.,2360.0,rv,49.873470000000005,41.59429
2015-11-15,2015-12-02,U.S.,2360.0,rv,50.00593,41.46918
