year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1318255,2123372
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,729547,2123372
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,44467,2123372
2016,ALABAMA,AL,1,63,41,US PRESIDENT,,,True,21712,2123372
2016,ALABAMA,AL,1,63,41,US PRESIDENT,"STEIN, JILL",GREEN,False,9391,2123372
2016,ALASKA,AK,2,94,81,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,163387,318608
2016,ALASKA,AK,2,94,81,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,116454,318608
2016,ALASKA,AK,2,94,81,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,18725,318608
2016,ALASKA,AK,2,94,81,US PRESIDENT,,,True,9201,318608
2016,ALASKA,AK,2,94,81,US PRESIDENT,"STEIN, JILL",GREEN,False,5735,318608
2016,ALASKA,AK,2,94,81,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,3866,318608
2016,ALASKA,AK,2,94,81,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",NO PARTY AFFILIATION,False,1240,318608
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1252401,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1161167,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,106327,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"STEIN, JILL",GREEN,False,34345,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,,INDEPENDENT,True,17473,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,True,1058,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,,NO PARTY AFFILIATION,True,311,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,,DEMOCRAT,True,42,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,True,29,2573165
2016,ARIZONA,AZ,4,86,61,US PRESIDENT,"TITTLE, SHEILA """"SAMM""""",WE THE PEOPLE,True,12,2573165
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,684872,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,380494,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,29829,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"MCMULLIN, EVAN",BETTER FOR AMERICA,False,13255,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"STEIN, JILL",GREEN,False,9473,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"HEDGES, JIM",PROHIBITION,False,4709,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,4613,1130635
2016,ARKANSAS,AR,5,71,42,US PRESIDENT,"KAHN, LYNN S.",INDEPENDENT,False,3390,1130635
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,8753788,14181595
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,4483810,14181595
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,478500,14181595
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"STEIN, JILL",GREEN,False,278657,14181595
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,,,True,120739,14181595
2016,CALIFORNIA,CA,6,93,71,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",PEACE & FREEDOM,False,66101,14181595
2016,COLORADO,CO,8,84,62,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1338870,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1202484,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,144121,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"STEIN, JILL",GREEN,False,38437,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,SCATTERING,UNAFFILIATED,False,31485,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"CASTLE, DARRELL L.",AMERICAN CONSTITUTION PARTY,False,11699,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KENISTON, CHRIS",VETERANS PARTY OF AMERICA,False,5028,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,1255,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KOPITKE, KYLE KENLEY",INDEPENDENT AMERICAN,False,1096,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"MALDONADO, JOSEPH ALLEN",INDEPENDENT PEOPLE OF COLORADO,False,872,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"MATUREN, MICHAEL A.",AMERICAN SOLIDARITY PARTY,False,862,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"SILVA, ROD",NUTRITION PARTY,False,751,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"HOEFLING, TOM",AMERICA'S PARTY,False,710,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"LA RIVA, GLORIA ESTELLA",SOCIALISM AND LIBERATION PARTY,False,531,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS,False,452,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"KOTLIKOFF, LAURENCE",KOTLIKOFF FOR PRESIDENT,False,392,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"LYTTLE, BRADFORD",NONVIOLENT RESISTANCE/PACIFIST,False,382,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"ATWOOD, FRANK",APPROVAL VOTING PARTY,False,337,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"EMIDIO """"MIMI"""", SOLTYSIK",SOCIALIST PARTY USA,False,271,2780220
2016,COLORADO,CO,8,84,62,US PRESIDENT,"HEDGES, JAMES",PROHIBITION,False,185,2780220
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,897572,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,673215,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,48676,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,"STEIN, JILL",GREEN,False,22841,1644920
2016,CONNECTICUT,CT,9,16,1,US PRESIDENT,,,True,2616,1644920
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,235603,441590
2016,DELAWARE,DE,10,51,11,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,185127,441590
