ID,candidate,state,votes
1,Donald Trump,AK,163387
2,Hillary Clinton,AK,116454
3,Gary Johnson,AK,18725
4,Jill Stein,AK,5735
5,Darrell Castle,AK,3866
6,Rocky De La Fuente,AK,1240
7,Donald Trump,AL,1318255
8,Hillary Clinton,AL,729547
9,Gary Johnson,AL,44467
10,Jill Stein,AL,9391
11,Donald Trump,AR,684872
12,Hillary Clinton,AR,380494
13,Gary Johnson,AR,29829
14,Evan McMullin,AR,13255
15,Jill Stein,AR,9473
16,Jim Hedges,AR,4709
17,Darrell Castle,AR,4613
18,Lynn Kahn,AR,3390
19,Donald Trump,AZ,1252401
20,Hillary Clinton,AZ,1161167
21,Gary Johnson,AZ,106327
22,Jill Stein,AZ,34345
23,Hillary Clinton,CA,8753788
24,Donald Trump,CA,4483810
25,Gary Johnson,CA,478500
26,Jill Stein,CA,278657
27,Gloria La Riva,CA,66101
28,Hillary Clinton,CO,1338870
29,Donald Trump,CO,1202484
30,Gary Johnson,CO,144121
31,Jill Stein,CO,38437
32,Evan McMullin,CO,28917
33,Darrell Castle,CO,11699
34,Chris Keniston,CO,5028
35,Mike Smith,CO,1819
36,Rocky De La Fuente,CO,1255
37,Kyle Kopitke,CO,1096
38,Joseph Maldonado,CO,872
39,Michael Maturen,CO,862
40,Rod Silva,CO,751
41,Ryan Scott,CO,749
42,Tom Hoefling,CO,710
43,Gloria La Riva,CO,531
44,Alyson Kennedy,CO,452
45,Laurence Kotlikoff,CO,392
46,Bradford Lyttle,CO,382
47,Frank Atwood,CO,337
48,Emidio Soltysik,CO,271
49,Jim Hedges,CO,185
50,Hillary Clinton,CT,897572
51,Donald Trump,CT,673215
52,Gary Johnson,CT,48676
53,Jill Stein,CT,22841
54,Hillary Clinton,DC,282830
55,Donald Trump,DC,12723
56,Gary Johnson,DC,4906
57,Jill Stein,DC,4258
58,Hillary Clinton,DE,235603
59,Donald Trump,DE,185127
60,Gary Johnson,DE,14757
61,Jill Stein,DE,6103
62,Donald Trump,FL,4617886
63,Hillary Clinton,FL,4504975
64,Gary Johnson,FL,207043
65,Jill Stein,FL,64399
66,Darrell Castle,FL,16475
67,Rocky De La Fuente,FL,9108
68,Donald Trump,GA,2089104
69,Hillary Clinton,GA,1877963
70,Gary Johnson,GA,125306
71,Hillary Clinton,HI,266891
72,Donald Trump,HI,128847
73,Gary Johnson,HI,15954
74,Jill Stein,HI,12737
75,Darrell Castle,HI,4508
76,Donald Trump,IA,800983
77,Hillary Clinton,IA,653669
78,Gary Johnson,IA,59186
79,Evan McMullin,IA,12366
80,Jill Stein,IA,11479
81,Darrell Castle,IA,5335
82,Lynn Kahn,IA,2247
83,Dan Vacek,IA,2246
84,Rocky De La Fuente,IA,451
85,Gloria La Riva,IA,323
86,Donald Trump,ID,409055
87,Hillary Clinton,ID,189765
88,Evan McMullin,ID,46476
89,Gary Johnson,ID,28331
90,Jill Stein,ID,8496
91,Darrell Castle,ID,4403
92,Scott Copeland,ID,2356
93,Rocky De La Fuente,ID,1373
94,Hillary Clinton,IL,3090729
95,Donald Trump,IL,2146015
96,Gary Johnson,IL,209596
97,Jill Stein,IL,76802
98,Donald Trump,IN,1557286
99,Hillary Clinton,IN,1033126
100,Gary Johnson,IN,133993
101,Donald Trump,KS,671018
102,Hillary Clinton,KS,427005
103,Gary Johnson,KS,55406
104,Jill Stein,KS,23506
105,Donald Trump,KY,1202971
106,Hillary Clinton,KY,628854
107,Gary Johnson,KY,53752
108,Evan McMullin,KY,22780
109,Jill Stein,KY,13913
110,Rocky De La Fuente,KY,1128
111,Donald Trump,LA,1178638
112,Hillary Clinton,LA,780154
113,Gary Johnson,LA,37978
114,Jill Stein,LA,14031
115,Evan McMullin,LA,8547
116,Darrell Castle,LA,3129
117,Chris Keniston,LA,1881
118,Tom Hoefling,LA,1581
119,Laurence Kotlikoff,LA,1048
120,Princess Jacob,LA,749
121,Alyson Kennedy,LA,480
122,Gloria La Riva,LA,446
123,Jerry White,LA,370
124,Hillary Clinton,MA,1995196
125,Donald Trump,MA,1090893
126,Gary Johnson,MA,138018
127,Jill Stein,MA,47661
128,Hillary Clinton,MD,1677928
129,Donald Trump,MD,943169
130,Gary Johnson,MD,79605
131,Jill Stein,MD,35945
132,Hillary Clinton,ME,357735
133,Donald Trump,ME,335593
134,Gary Johnson,ME,38105
135,Jill Stein,ME,14251
136,Donald Trump,MI,2279543
137,Hillary Clinton,MI,2268839
138,Gary Johnson,MI,172136
139,Jill Stein,MI,51463
140,Darrell Castle,MI,16139
141,Emidio Soltysik,MI,2209
142,Hillary Clinton,MN,1367716
143,Donald Trump,MN,1322951
144,Gary Johnson,MN,112972
145,Evan McMullin,MN,53076
146,Jill Stein,MN,36985
147,Dan Vacek,MN,11291
148,Darrell Castle,MN,9456
149,Alyson Kennedy,MN,1672
150,Rocky De La Fuente,MN,1431
151,Donald Trump,MO,1594511
152,Hillary Clinton,MO,1071068
153,Gary Johnson,MO,97359
154,Jill Stein,MO,25419
155,Darrell Castle,MO,13092
156,Donald Trump,MS,700714
157,Hillary Clinton,MS,485131
158,Gary Johnson,MS,14435
159,Darrell Castle,MS,3987
160,Jill Stein,MS,3731
161,Jim Hedges,MS,715
162,Rocky De La Fuente,MS,644
163,Donald Trump,MT,279240
164,Hillary Clinton,MT,177709
165,Gary Johnson,MT,28037
166,Jill Stein,MT,7970
167,Rocky De La Fuente,MT,1570
168,Donald Trump,NC,2362631
169,Hillary Clinton,NC,2189316
170,Gary Johnson,NC,130126
171,Donald Trump,ND,216794
172,Hillary Clinton,ND,93758
173,Gary Johnson,ND,21434
174,Jill Stein,ND,3780
175,Darrell Castle,ND,1833
176,Rocky De La Fuente,ND,364
177,Donald Trump,NE,495961
178,Hillary Clinton,NE,284494
179,Gary Johnson,NE,38946
180,Jill Stein,NE,8775
181,Hillary Clinton,NH,348526
182,Donald Trump,NH,345790
183,Gary Johnson,NH,30777
184,Jill Stein,NH,6496
185,Rocky De La Fuente,NH,678
186,Hillary Clinton,NJ,2148278
187,Donald Trump,NJ,1601933
188,Gary Johnson,NJ,72477
189,Jill Stein,NJ,37772
190,Darrell Castle,NJ,6161
191,Alyson Kennedy,NJ,2156
192,Rocky De La Fuente,NJ,1838
193,Monica Moorehead,NJ,1749
194,Gloria La Riva,NJ,1682
195,Hillary Clinton,NM,385234
196,Donald Trump,NM,319667
197,Gary Johnson,NM,74541
198,Jill Stein,NM,9879
199,Evan McMullin,NM,5825
200,Darrell Castle,NM,1514
201,Gloria La Riva,NM,1184
202,Rocky De La Fuente,NM,475
203,Hillary Clinton,NV,539260
204,Donald Trump,NV,512058
205,Gary Johnson,NV,37384
206, None of these candidates,NV,28863
207,Darrell Castle,NV,5268
208,Rocky De La Fuente,NV,2552
209,Hillary Clinton,NY,4556124
210,Donald Trump,NY,2819534
211,Gary Johnson,NY,176598
212,Jill Stein,NY,107934
213,Donald Trump,OH,2841005
214,Hillary Clinton,OH,2394164
215,Gary Johnson,OH,174498
216,Jill Stein,OH,46271
217,Richard Duncan,OH,24235
218,Donald Trump,OK,949136
219,Hillary Clinton,OK,420375
220,Gary Johnson,OK,83481
221,Hillary Clinton,OR,1002106
222,Donald Trump,OR,782403
223,Gary Johnson,OR,94231
224,Jill Stein,OR,50002
225,Donald Trump,PA,2970733
226,Hillary Clinton,PA,2926441
227,Gary Johnson,PA,146715
228,Jill Stein,PA,49941
229,Darrell Castle,PA,21572
230,Hillary Clinton,RI,252525
231,Donald Trump,RI,180543
232,Gary Johnson,RI,14746
233,Jill Stein,RI,6220
234,Rocky De La Fuente,RI,671
235,Donald Trump,SC,1155389
236,Hillary Clinton,SC,855373
237,Gary Johnson,SC,49204
238,Evan McMullin,SC,21016
239,Jill Stein,SC,13034
240,Darrell Castle,SC,5765
241,Peter Skewes,SC,3246
242,Donald Trump,SD,227721
243,Hillary Clinton,SD,117458
244,Gary Johnson,SD,20850
245,Darrell Castle,SD,4064
246,Hillary Clinton,SD,2510
247,Donald Trump,SD,241
248,Gary Johnson,SD,106
249,Darrell Castle,SD,48
250,Donald Trump,TN,1522925
251,Hillary Clinton,TN,870695
252,Gary Johnson,TN,70397
253,Jill Stein,TN,15993
254,Mike Smith,TN,7276
255,Rocky De La Fuente,TN,4075
256,Alyson Kennedy,TN,2877
257,Donald Trump,TX,4685047
258,Hillary Clinton,TX,3877868
259,Gary Johnson,TX,283492
260,Jill Stein,TX,71558
261,Donald Trump,UT,515231
262,Hillary Clinton,UT,310676
263,Evan McMullin,UT,243690
264,Gary Johnson,UT,39608
265,Jill Stein,UT,9438
266,Darrell Castle,UT,8032
267,Rocky Giordani,UT,2752
268,Rocky De La Fuente,UT,883
269,Monica Moorehead,UT,544
270,Alyson Kennedy,UT,521
271,Hillary Clinton,VA,1981473
272,Donald Trump,VA,1769443
273,Gary Johnson,VA,118274
274,Evan McMullin,VA,54054
275,Jill Stein,VA,27638
276,Hillary Clinton,VT,178573
277,Donald Trump,VT,95369
278,Gary Johnson,VT,10078
279,Jill Stein,VT,6758
280,Rocky De La Fuente,VT,1063
281,Gloria La Riva,VT,327
282,Hillary Clinton,WA,1742718
283,Donald Trump,WA,1221747
284,Gary Johnson,WA,160879
285,Jill Stein,WA,58417
286,Darrell Castle,WA,17623
287,Alyson Kennedy,WA,4307
288,Gloria La Riva,WA,3523
289,Donald Trump,WI,1405284
290,Hillary Clinton,WI,1382536
291,Gary Johnson,WI,106674
292,Jill Stein,WI,31072
293,Darrell Castle,WI,12162
294,Monica Moorehead,WI,1770
295,Rocky De La Fuente,WI,1502
296,Donald Trump,WV,489371
297,Hillary Clinton,WV,188794
298,Gary Johnson,WV,23004
299,Jill Stein,WV,8075
300,Darrell Castle,WV,3807
301,Donald Trump,WY,174419
302,Hillary Clinton,WY,55973
303,Gary Johnson,WY,13287
304,Jill Stein,WY,2515
305,Darrell Castle,WY,2042
306,Rocky De La Fuente,WY,709
